popularity,duration_ms,explicit,danceability,key,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,genre
0.6699147,0.40131778,-0.29269093,0.49731264,1.5834384,-1.33583,0.22185504,0.6178463,-0.5378096,0.7152523,0.82303166,0.83395517,0.25409395,classical
0.70659417,1.7655901,-0.29269093,-0.3621026,-1.4756736,0.7485982,1.1925353,-0.010216764,-0.53781575,-0.60287154,1.0650083,-0.9108517,0.25409395,classical
0.5231968,-0.18214695,-0.29269093,0.30813307,1.5834384,-1.33583,-0.5756769,0.5847903,-0.48673594,1.4885515,0.09306895,0.7092825,0.25409395,classical
1.0367094,0.40783122,-0.29269093,0.7783792,1.5834384,-1.33583,-0.39334643,0.6261103,-0.49089357,-0.36268008,0.8915917,0.83365214,0.25409395,classical
0.70659417,1.0633954,-0.29269093,0.17300501,0.47103408,-1.33583,-0.34874758,0.5847903,-0.50633633,0.36961085,-0.7054539,-0.02727367,0.25409395,classical
0.70659417,0.46319556,-0.29269093,0.4919076,1.0272362,-1.33583,-0.16248195,0.5930543,-0.53781575,-0.52671325,1.0287118,1.0361439,0.25409395,classical
-1.4574946,1.4681473,-0.29269093,-1.7350048,-1.4756736,-1.33583,-0.50222003,1.6425807,2.004295,-0.14006361,-1.1369787,0.67579216,-1.9200785,classical
-1.3841357,-0.4962508,-0.29269093,-0.29724112,1.0272362,0.7485982,-0.41039893,1.7169567,2.2656336,-0.4915633,0.6818785,-1.3363332,0.25409395,classical
-1.4208152,-0.6881016,-0.29269093,-1.0593641,1.0272362,0.7485982,-0.34874758,1.7031834,2.3042405,0.8031271,0.9440198,-1.293519,0.25409395,classical
-1.4574946,2.0884056,-0.29269093,-0.9674768,-0.9194713,0.7485982,-0.42220452,1.7197113,2.2062385,-0.6614548,-1.044221,-0.106506445,0.25409395,classical
-1.4208152,-0.48914522,-0.29269093,-2.032287,-0.9194713,0.7485982,-0.405152,1.4993384,2.1201155,-0.60521483,-1.5180919,-1.7176541,0.25409395,classical
-1.4574946,-1.5621182,-0.29269093,0.44866648,0.47103408,0.7485982,0.5235529,1.7086928,2.2656336,-0.42712167,1.4239402,-1.2519166,-1.9200785,classical
-1.3841357,0.88232887,-0.29269093,-2.5625298,-0.9194713,0.7485982,-0.36842352,1.5241303,2.2210872,-0.4739883,-1.4410627,1.9284055,0.25409395,classical
-1.4574946,-0.24913931,-0.29269093,-1.4755588,-0.9194713,0.7485982,-0.405152,1.7197113,1.6568338,0.9437269,0.3834407,-1.3613755,-1.9200785,classical
-1.4208152,-1.1154729,-0.29269093,-0.9674768,-1.4756736,-1.33583,-0.5140256,1.7252208,1.9716278,-0.3802551,0.11726654,1.721976,-1.9200785,classical
-1.4574946,-0.52445847,-0.29269093,-2.032287,-0.36326918,0.7485982,-0.36580008,1.705938,-0.4023949,-0.09905532,-1.3882312,-1.8381863,0.25409395,classical
-1.4574946,-0.64132315,-0.29269093,-0.28102562,0.47103408,0.7485982,-0.24249746,1.7252208,2.1052668,-0.615174,-0.9877599,-1.2307117,0.25409395,classical
-1.4574946,1.689701,-0.29269093,-1.0917947,1.0272362,0.7485982,-0.5035318,1.7169567,2.1290247,-0.4739883,-0.29812658,0.5355021,0.25409395,classical
-1.4574946,-0.45233682,-0.29269093,-2.0214765,-1.4756736,0.7485982,-0.42745143,1.7031834,2.1171458,-0.7335122,-1.4584044,-1.2530948,-1.9200785,classical
-1.4574946,-0.1837087,-0.29269093,-0.7999179,-0.64137024,0.7485982,-0.31595436,1.7197113,2.0874481,-0.4739883,0.5326596,-0.6573671,0.25409395,classical
-1.4574946,0.67952365,-0.29269093,-1.7187895,-0.085168086,0.7485982,-0.41039893,1.7224661,2.054781,-0.5384299,-1.3878279,-1.5905584,0.25409395,classical
-1.4574946,-1.2737203,-0.29269093,-0.39453343,1.0272362,0.7485982,-0.49041447,1.4607731,-0.2200519,0.35789418,1.01258,0.094032906,0.25409395,classical
-1.4574946,-0.05570455,-0.29269093,-0.87558967,-0.9194713,0.7485982,-0.487791,1.6315622,2.1765409,-0.5601057,-0.3102255,-1.4143543,0.25409395,classical
-1.4574946,0.9544728,-0.29269093,-1.2809741,1.0272362,0.7485982,-0.19396347,1.7224661,2.1438735,-0.5601057,-0.120677054,1.7387043,2.4282663,classical
-1.4574946,0.5634658,-0.29269093,-1.1242255,1.5834384,-1.33583,-0.20052212,1.5819783,-0.53781575,1.980651,0.0043441383,-1.5333718,0.25409395,classical
-1.4574946,-1.3048072,-0.29269093,-0.016174577,-0.9194713,0.7485982,-0.4943497,1.7252208,2.295331,-0.6409506,-0.8546728,-1.8909298,0.25409395,classical
-1.4574946,1.5318015,-0.29269093,-1.5674459,-0.64137024,0.7485982,-0.44712737,1.7114475,2.1201155,-0.5032799,-1.3091855,0.69925255,0.25409395,classical
-1.4574946,0.33697522,-0.29269093,-2.479291,1.3053373,-1.33583,-0.3303834,0.7776168,-0.53711194,-0.15178029,-1.345482,1.9130573,-1.9200785,classical
-1.4574946,-0.49652466,-0.29269093,-0.15670769,1.5834384,-1.33583,-0.0995189,1.7169567,2.1706014,-0.5671357,2.089376,-0.5139468,0.25409395,classical
-1.4574946,-1.4584655,-0.29269093,-1.7241946,-1.4756736,0.7485982,-0.5546892,1.7279754,2.0369623,-0.35682175,-0.64899266,-0.80435514,2.4282663,classical
-1.4574946,0.2952299,-0.29269093,-2.4565892,1.3053373,0.7485982,-0.4431922,1.6480902,2.3072102,-0.14592195,-0.71755266,-1.3694198,0.25409395,classical
-1.4574946,0.42401865,-0.29269093,-2.0647175,-0.9194713,0.7485982,-0.45368603,1.6177888,-0.4873299,-0.25723013,-1.355161,0.5731665,0.25409395,classical
-1.4574946,0.4727733,-0.29269093,-2.1944406,0.47103408,0.7485982,-0.3959699,1.6783915,2.345817,0.7562605,-1.4616307,-1.3820755,-1.9200785,classical
-1.4574946,1.492817,-0.29269093,-2.2809227,0.47103408,0.7485982,-0.4235162,1.5076025,2.2596939,-0.4095467,-1.459211,-2.2512138,-1.9200785,classical
-1.4574946,0.5613933,-0.29269093,-2.1241739,0.192933,0.7485982,-0.35137105,1.5985062,-0.13095926,-0.576509,-1.4467088,0.64038295,-1.9200785,classical
